name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;793;0;770;3075;822;3075;845;0
header;25;156;25;190;1631;190;1631;156
A;806;222;806;247;828;247;828;222
B;804;905;804;931;823;931;823;905
A;782;1475;782;1475;782;1475;782;1475
C;796;1574;796;1602;818;1602;818;1574
A;781;1961;781;1966;783;1966;783;1961
A;779;2136;779;2139;781;2139;781;2136
D;792;2240;792;2266;813;2266;813;2240
A;782;2306;782;2310;783;2310;783;2306
B;814;2814;814;2830;827;2830;827;2814
A;797;2848;797;2866;803;2866;803;2848
A;785;2849;785;2866;790;2866;790;2849
