name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;347;0;439;3075;1058;3075;1081;0
header;244;128;244;160;1865;160;1865;128
A;1043;193;1043;219;1064;219;1064;193
B;890;685;890;703;906;703;906;685
B;1039;867;1039;894;1059;894;1059;867
B;526;1491;526;1509;540;1509;540;1491
C;1031;1533;1031;1561;1051;1561;1051;1533
B;697;1841;697;1857;705;1857;705;1841
B;903;1874;903;1892;918;1892;918;1874
B;441;1877;441;1891;449;1891;449;1877
D;1032;2221;1032;2247;1053;2247;1053;2221
B;438;2329;438;2347;452;2347;452;2329
B;442;2819;442;2834;463;2834;463;2819
B;625;2819;625;2834;646;2834;646;2819
A;462;2877;462;2881;465;2881;465;2877
